Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/01/2026	02/28/2026		JPA960590832	JPA960590832	1			EUR		74432730	Tsuji Ayano	春は遠き夢の果てに	Living,dining&kitchen Records		H3		FR				
02/01/2026	02/28/2026		JPA960590830	JPA960590830	2			EUR		74432575	Tsuji Ayano	たましい	Living,dining&kitchen Records		H3		FR				
02/01/2026	02/28/2026		JPA960710014	JPA960710014	2			EUR		261602085	極東ラヴァーズオーケストラ	君がいるだけで	Pacific Records		H3		DE				
02/01/2026	02/28/2026		JPA960591068	JPA960591068	1			EUR		74244996	ガガガSP	線香花火	RUN RUN RUN Records		H3		DE				
02/01/2026	02/28/2026		JPA961000193	JPA961000193	2			EUR		383818989	Youmou to Ohana	ずっと ずっと ずっと	Living Records Tokyo*		H3		DE				
02/01/2026	02/28/2026		JPA960720015	JPA960720015	2			EUR		216987904	極東ラヴァーズオーケストラ	桜坂	LD&K universe		H3		DE				
02/01/2026	02/28/2026		JPA960900068	JPA960900068	1			EUR		323943617	Youmou to Ohana	僕は空にうたう	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA960510025	JPA960510025	2			EUR		73377727	Sugar Mama	サーカスの夜	Living,dining&Kitchen Records		H3		FR				
02/01/2026	02/28/2026		JPA961980025	JPA961980025	1			EUR		1492861783	Su凸ko D凹koi	憎い村	おポンコツレコーズ		H3		IE				
02/01/2026	02/28/2026		JPA960600073	JPA960600073	1			EUR		269855342	かりゆし58	アンマー	RUN RUN RUN Records		H3		IT				
02/01/2026	02/28/2026		JPA960900071	JPA960900071	1			EUR		323943635	Youmou to Ohana	デイ・ドリーム・ビリーヴァー	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA961980051	JPA961980051	1			EUR		1492861781	Su凸ko D凹koi	歩くATM	おポンコツレコーズ		H3		IE				
02/01/2026	02/28/2026		JPA961000199	JPA961000199	2			EUR		383819004	Youmou to Ohana	少年時代	Living Records Tokyo*		H3		DE				
02/01/2026	02/28/2026		JPA960590829	JPA960590829	2			EUR		74432513	Tsuji Ayano	酔いしれて	Living,dining&kitchen Records		H3		FR				
02/01/2026	02/28/2026		JPA960900072	JPA960900072	1			EUR		323943642	Youmou to Ohana	アクアリウム	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA960591427	JPA960591427	1			EUR		74242618	みちしたの音楽	Close to You	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA960900067	JPA960900067	1			EUR		323943615	Youmou to Ohana	『おやすみ。』	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA961000191	JPA961000191	1			EUR		383818986	Youmou to Ohana	クラフトタイム	Living Records Tokyo*		H3		DE				
